category,item_key,name,qty,notes,aliexpress_url,amazon_url,pcbway_url,other_urls,all_urls
Misc,connection-wire,Connection Wire,-,"22-30AWG, recommend solid core, used for all other wires",https://s.click.aliexpress.com/e/_c3XeHXW7,https://geni.us/BbErE,,,https://s.click.aliexpress.com/e/_c3XeHXW7 | https://geni.us/BbErE
Misc,ferrules,Ferrules,-,"Optional, if used need approx 20 across robot",https://s.click.aliexpress.com/e/_c4b0JD7N,https://geni.us/uW3lDP,,,https://s.click.aliexpress.com/e/_c4b0JD7N | https://geni.us/uW3lDP
Misc,heat-shrink,Heat Shrink,-,"Only small amount required, for covering exposed solid-core wires",https://s.click.aliexpress.com/e/_c30Kx0Xt,https://geni.us/QeW8,,,https://s.click.aliexpress.com/e/_c30Kx0Xt | https://geni.us/QeW8
Misc,100k-resistors,100k resistors,-,For dividing the voltage at the buck converter so that it is readable by the nano,https://s.click.aliexpress.com/e/_c3fDqW83,https://geni.us/CDzFOW,,,https://s.click.aliexpress.com/e/_c3fDqW83 | https://geni.us/CDzFOW
Misc,m3-nuts,M3 Nuts,-,,https://s.click.aliexpress.com/e/_c3HQLb9v,https://geni.us/dmXnT,,,https://s.click.aliexpress.com/e/_c3HQLb9v | https://geni.us/dmXnT
Misc,m3-bolts,M3 Bolts,-,,https://s.click.aliexpress.com/e/_c3i5gzGJ,https://geni.us/HkHYUQI,,,https://s.click.aliexpress.com/e/_c3i5gzGJ | https://geni.us/HkHYUQI
Filaments,black-abs-asa-petg-pc-filament,Black ABS/ASA/PETG&PC Filament,-,Approx 500g required,https://s.click.aliexpress.com/e/_c2u7dF8J,https://geni.us/gAhsy,,,https://s.click.aliexpress.com/e/_c2u7dF8J | https://geni.us/gAhsy
Filaments,yellow-abs-asa-petg-pc-filament,Yellow ABS/ASA/PETG&PC Filament,-,Approx 500g required,https://s.click.aliexpress.com/e/_c4sIjv6L,https://geni.us/iEIj,,,https://s.click.aliexpress.com/e/_c4sIjv6L | https://geni.us/iEIj
Filaments,black-pla-filament,Black PLA Filament,-,Approx 750g required (includes 500g for the stand),https://s.click.aliexpress.com/e/_c2QdFuwn,https://geni.us/m7Fcy3W,,,https://s.click.aliexpress.com/e/_c2QdFuwn | https://geni.us/m7Fcy3W
Filaments,white-tpu-filament,White TPU Filament,-,"Approx 50g required, for feet",https://s.click.aliexpress.com/e/_c3HBKl3V,https://geni.us/XPB98,,,https://s.click.aliexpress.com/e/_c3HBKl3V | https://geni.us/XPB98
Tools,crimp-tool,Crimp Tool,1,,https://s.click.aliexpress.com/e/_c4VtpJeL,https://geni.us/RH6Ac9,,,https://s.click.aliexpress.com/e/_c4VtpJeL | https://geni.us/RH6Ac9
Tools,hex-key-set,Hex Key set,1,,https://s.click.aliexpress.com/e/_c3rvP1lh,https://geni.us/BufZGm,,,https://s.click.aliexpress.com/e/_c3rvP1lh | https://geni.us/BufZGm
Tools,soldering-iron,Soldering Iron,1,,https://s.click.aliexpress.com/e/_c4sOxkox,https://geni.us/Drzhe7o,,,https://s.click.aliexpress.com/e/_c4sOxkox | https://geni.us/Drzhe7o
Tools,wire-cutter,Wire cutter,1,,https://s.click.aliexpress.com/e/_c2yogYf1,https://geni.us/TFzOR4,,,https://s.click.aliexpress.com/e/_c2yogYf1 | https://geni.us/TFzOR4
Tools,wire-stripper,Wire stripper,1,,,https://geni.us/SvNtLpP,,,https://geni.us/SvNtLpP
Tools,precision-screwdriver-set,Precision Screwdriver Set,1,,https://s.click.aliexpress.com/e/_c3bHpwH9,https://geni.us/Kk4tgSV,,,https://s.click.aliexpress.com/e/_c3bHpwH9 | https://geni.us/Kk4tgSV
Tools,heat-insert-set,Heat insert set,1,,https://s.click.aliexpress.com/e/_c4PpqBn5,https://geni.us/v1c6n,,,https://s.click.aliexpress.com/e/_c4PpqBn5 | https://geni.us/v1c6n
Tools,heat-insert-tip-set,Heat insert tip - set,1,,https://s.click.aliexpress.com/e/_c4V88eu7,https://geni.us/AiMMC,,,https://s.click.aliexpress.com/e/_c4V88eu7 | https://geni.us/AiMMC
Tools,soldering-iron-ts101,Soldering Iron TS101,1,,https://s.click.aliexpress.com/e/_c2QmV6QP,https://geni.us/rPNNHLD,,,https://s.click.aliexpress.com/e/_c2QmV6QP | https://geni.us/rPNNHLD
